"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
839,"Stallion Sundance","A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia",2006,1,5,"0.99",130,"23.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'australia':21 'car':10 'dog':13 'fast':5 'fast-pac':4 'must':15 'outgun':16 'pace':6 'shark':19 'stallion':1 'sundanc':2 'tale':7"
843,"Steel Santa","A Fast-Paced Yarn of a Composer And a Frisbee who must Face a Moose in Nigeria",2006,1,4,"4.99",143,"15.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'compos':10 'face':16 'fast':5 'fast-pac':4 'frisbe':13 'moos':18 'must':15 'nigeria':20 'pace':6 'santa':2 'steel':1 'yarn':7"
846,"Sting Personal","A Fanciful Drama of a Frisbee And a Dog who must Fight a Madman in A Jet Boat",2006,1,3,"4.99",93,"9.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':20 'dog':11 'drama':5 'fanci':4 'fight':14 'frisbe':8 'jet':19 'madman':16 'must':13 'person':2 'sting':1"
890,"Tights Dawn","A Thrilling Epistle of a Boat And a Secret Agent who must Face a Boy in A Baloon",2006,1,5,"0.99",172,"14.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'agent':12 'baloon':20 'boat':8 'boy':17 'dawn':2 'epistl':5 'face':15 'must':14 'secret':11 'thrill':4 'tight':1"
891,"Timberland Sky","A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat",2006,1,3,"0.99",69,"13.99","G","2013-05-26 14:50:58.951","{Commentaries}","'boat':21 'bore':4 'display':5 'dog':11 'girl':16 'man':8 'must':13 'redeem':14 'sky':2 'timberland':1 'u':20 'u-boat':19"
878,"Teen Apollo","A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank",2006,1,3,"4.99",74,"25.99","G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'apollo':2 'awe':5 'awe-inspir':4 'dog':10 'drama':7 'escap':16 'inspir':6 'man':13 'must':15 'robot':18 'shark':21 'tank':22 'teen':1"
879,"Telegraph Voyage","A Fateful Yarn of a Husband And a Dog who must Battle a Waitress in A Jet Boat",2006,1,3,"4.99",148,"20.99","PG","2013-05-26 14:50:58.951","{Commentaries}","'battl':14 'boat':20 'dog':11 'fate':4 'husband':8 'jet':19 'must':13 'telegraph':1 'voyag':2 'waitress':16 'yarn':5"
909,"Treasure Command","A Emotional Saga of a Car And a Madman who must Discover a Pioneer in California",2006,1,3,"0.99",102,"28.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'california':18 'car':8 'command':2 'discov':14 'emot':4 'madman':11 'must':13 'pioneer':16 'saga':5 'treasur':1"
913,"Troopers Metal","A Fanciful Drama of a Monkey And a Feminist who must Sink a Man in Berlin",2006,1,3,"0.99",115,"20.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'berlin':18 'drama':5 'fanci':4 'feminist':11 'man':16 'metal':2 'monkey':8 'must':13 'sink':14 'trooper':1"
916,"Turn Star","A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans",2006,1,3,"2.99",80,"10.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'chase':14 'man':8 'monkey':11 'must':13 'new':18 'orlean':19 'star':2 'student':16 'stun':4 'tale':5 'turn':1"
927,"Uprising Uptown","A Fanciful Reflection of a Boy And a Butler who must Pursue a Woman in Berlin",2006,1,6,"2.99",174,"16.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'berlin':18 'boy':8 'butler':11 'fanci':4 'must':13 'pursu':14 'reflect':5 'upris':1 'uptown':2 'woman':16"
945,"Virginian Pluto","A Emotional Panorama of a Dentist And a Crocodile who must Meet a Boy in Berlin",2006,1,5,"0.99",164,"22.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'berlin':18 'boy':16 'crocodil':11 'dentist':8 'emot':4 'meet':14 'must':13 'panorama':5 'pluto':2 'virginian':1"
947,"Vision Torque","A Thoughtful Documentary of a Dog And a Man who must Sink a Man in A Shark Tank",2006,1,5,"0.99",59,"16.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'documentari':5 'dog':8 'man':11,16 'must':13 'shark':19 'sink':14 'tank':20 'thought':4 'torqu':2 'vision':1"
950,"Volume House","A Boring Tale of a Dog And a Woman who must Meet a Dentist in California",2006,1,7,"4.99",132,"12.99","PG","2013-05-26 14:50:58.951","{Commentaries}","'bore':4 'california':18 'dentist':16 'dog':8 'hous':2 'meet':14 'must':13 'tale':5 'volum':1 'woman':11"
963,"Watch Tracy","A Fast-Paced Yarn of a Dog And a Frisbee who must Conquer a Hunter in Nigeria",2006,1,5,"0.99",78,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'conquer':16 'dog':10 'fast':5 'fast-pac':4 'frisbe':13 'hunter':18 'must':15 'nigeria':20 'pace':6 'traci':2 'watch':1 'yarn':7"
984,"Wonderful Drop","A Boring Panorama of a Woman And a Madman who must Overcome a Butler in A U-Boat",2006,1,3,"2.99",126,"20.99","NC-17","2013-05-26 14:50:58.951","{Commentaries}","'boat':21 'bore':4 'butler':16 'drop':2 'madman':11 'must':13 'overcom':14 'panorama':5 'u':20 'u-boat':19 'woman':8 'wonder':1"
